region	area	cdc_title	live_date
East of England	Basildon and Billericay	Basildon Community Diagnostics CDC	1 Aug 2021
East of England	Peterborough	Cambridge and Peterborough CDC	1 Jul 2021
East of England	Norwich South	Central Norfolk CDC	4 Apr 2022
East of England	Clacton	Clacton CDC	8 Aug 2021
East of England	Great Yarmouth	East Norfolk CDC	12 Dec 2021
East of England	Welwyn Hatfield	New QEII Hospital CDC	1 Mar 2022
East of England	North West Norfolk	West Norfolk CDC	4 Apr 2022
London	Barking	Barking Community Hospital CDC	14 Jul 2021
London	Finchley and Golders Green	Finchley Memorial Hospital CDC	2 Aug 2021
London	Hornsey and Wood Green	Finchley Memorial Hospital CDC (Wood Green)	25 Aug 2022
London	Bermondsey and Southwark	Guys Cancer Centre CDC	4 Sep 2021
London	Bethnal Green and Bow	Mile End Hospital CDC	1 Jul 2021
London	Ealing and Southall	North West London CDC	19 Jul 2021
London	Putney	Queen Marys Hospital Roehampton CDC	1 Aug 2021
London	Mitcham and Morden	Queen Marys Hospital Roehampton CDC (Epsom)	HUB
London	Richmond Park	Queen Marys Hospital Roehampton CDC (Kingston)	HUB
London	Croydon South	Queen Marys Hospital Roehampton CDC (Purley)	HUB
London	Tooting	Queen Marys Hospital Roehampton CDC (St Georges)	HUB
London	Wimbledon	Queen Marys Hospital Roehampton CDC (The Nelson)	HUB
London	Mitcham and Morden	Queen Marys Hospital Roehampton CDC (The Wilson)	HUB
London	Dulwich and West Norwood	Tessa Jowell Health Care Centre CDC	26 Jul 2021
Midlands	Cannock Chase	Cannock Chase CDC	14 Jul 2021
Midlands	Stourbridge	Corbett CDC	1 Oct 2021
Midlands	Coventry North East	Coventry City Community CDC	1 Nov 2021
Midlands	Derby North	Florence Nightingale Community Hospital CDC	1 Nov 2021
Midlands	Grantham and Stamford	Grantham CDC	1 Nov 2021
Midlands	Erewash	Ilkeston Community Hospital CDC	6 Dec 2021
Midlands	Wyre Forest	Kidderminster Treatment Centre CDC	15 Aug 2021
Midlands	Leicester East	Leicester CDC	3 Oct 2021
Midlands	Stratford upon Avon	South Warwickshire CDC	1 Nov 2021
Midlands	Nuneaton	Warwickshire North CDC	1 Nov 2021
Midlands	Birmingham	Washwood Heath CDC	13 Dec 2021
Midlands	Derbyshire Dales	Whitworth Hospital CDC	10 Oct 2021
North East and Yorkshire	Barnsley Central	Barnsley Glassworks CDC	18 Apr 2022
North East and Yorkshire	Bishop Auckland	Bishop Auckland CDC	14 Jul 2021
North East and Yorkshire	Darlington	Bishop Auckland CDC (Darlington Memorial)	14 Jul 2021
North East and Yorkshire	Durham	Bishop Auckland CDC (North Durham)	14 Jul 2021
North East and Yorkshire	Blaydon	Blaydon CDC	19 Jul 2021
North East and Yorkshire	Tynemouth	Blaydon CDC (North Tyneside)	HUB
North East and Yorkshire	Kingston upon Hull West and Hessle	Humber Coast and Vale CDC	31 Oct 2021
North East and Yorkshire	Doncaster North	Montagu Hospital CDC	6 Jan 2022
North East and Yorkshire	North Tyneside	North Tyneside CDC	1 Feb 2022
North East and Yorkshire	Penrith and the Border	Penrith CDC	4 Oct 2021
North East and Yorkshire	South Shields	South Tyneside CDC	26 Jul 2021
North East and Yorkshire	Durham	South Tyneside CDC (Durham Treatment Centre)	14 Jul 2021
North East and Yorkshire	Hartlepool	Tees Valley CDC	18 Jul 2021
North East and Yorkshire	Richmond (Yorks)	Tees Valley CDC (Friarige)	HUB
North East and Yorkshire	Redcar	Tees Valley CDC (Redcar)	HUB
North East and Yorkshire	Hartlepool	Tees Valley CDC (University Hospital Hartlepool)	HUB
North West	Bolton South East	Bolton CDC	5 Nov 2021
