mod,kind,est,lo,hi,p
Brain MRI,Volume,29.026901431802287,20.02010596735786,38.7096033527899,5.093925281585143e-12
Brain MRI,Median wait,7.05240693168272,-1.025412912338397,15.789498770187294,0.08866069342301919
CT chest/abdomen,Volume,14.7933556987226,5.663455030645936,24.71212974014079,0.0011029228349530573
CT chest/abdomen,Median wait,-1.439749703545934,-8.527536321204499,6.197237374197151,0.7033011246425933
Chest x-ray,Volume,13.449276243478847,9.5970501098249,17.436904253095122,8.104628079763643e-13
Chest x-ray,Median wait,-2.418038542420642,-21.72192895495315,21.646319010961832,0.8277003200433148
Ultrasound abdomen/pelvis,Volume,6.123626212246047,-0.7440762276410329,13.466517789569465,0.08164859240454181
Ultrasound abdomen/pelvis,Median wait,2.2463953950242033,-5.990376312352497,11.20484224052143,0.6041583013981888
Ultrasound kidney/bladder,Volume,4.140388678867879,-6.704720068993064,16.24618696900695,0.4696350390788857
Ultrasound kidney/bladder,Median wait,-3.09278022482109,-13.583547428113807,8.671543034503104,0.5909758727403149
